unit,page,part,language_name,lang_code,text
MAT/MA161-ForestedAreas,1,1,Albanian,sqi-ALB,Makinë llogaritëseclose
MAT/MA161-ForestedAreas,1,2,Albanian,sqi-ALB,PISA 2022
MAT/MA161-ForestedAreas,1,3,Albanian,sqi-ALB,"Sipërfaqja Pyjore  Hyrja
Lexoni hyrjen. Më pas klikoni mbi shigjetën TJETËR.
SIPËRFAQJA PYJORE
Në këtë seksion, ju do të përdorni një faqe të dhënash për t'ju përgjigjur pyetjeve të lidhura me situatën e mëposhtme:
Një pyll është një ekosistem në të cilin mund të gjenden një shumëllojshmëri pemësh, bimësh dhe kafshësh.
Sasia e sipërfaqes pyjore në një shtet mund të ndryshojë me kalimin e kohës.
Në ekranin tjetër, ju do të praktikoni përdorimin e faqes së të dhënave."
MAT/MA161-ForestedAreas,1,4,Albanian,sqi-ALB,"C
(
)
x2
yx
√x
1/x
π
÷
7
8
9
x
4
5
6
–
1
2
3
+
0
.
+/-
="
MAT/MA161-ForestedAreas,2,1,Albanian,sqi-ALB,Makinë llogaritëseclose
MAT/MA161-ForestedAreas,2,2,Albanian,sqi-ALB,PISA 2022
MAT/MA161-ForestedAreas,2,3,Albanian,sqi-ALB,"SIPËRFAQJA PYJORE
Faqja e të dhënave më poshtë, tregon sasinë e sipërfaqes pyjore në formë përqindjeje të të gjithë sipërfaqes së secilit nga 15 shtetet, në këtë grup të dhënash. Të dhënat janë paraqitur për vitet 2005, 2010 dhe 2015.
Kolona A ▾
Kolona B
Kolona C
Kolona D
Kolona E
Kolona F
Kolona G
Shteti
2005
2010
2015
Algjeria0,640,810,82Armenia11,7711,7411,77Gjermania32,6632,7332,76Greqia29,1130,2831,45India22,7723,4723,77Kazakistani1,241,231,23Kolumbia54,2652,8552,73Koreja e Jugut64,4264,0863,69Libani13,3413,3813,42Panamaja64,3363,2162,11Peruja59,0158,4557,79Portugalia36,5235,8935,25Senegali45,0544,0142,97Shtetet e Bashkuara33,2633,733,85Tajlanda31,5131,8132,1
Llogarit
Kolona
Kolona B
Kolona C
Kolona D
Kolona E
Kolona F
Kolona G
Veprimi
Shto
Zbrit
Shumëzo
Pjesëto
Kolona
Kolona B
Kolona C
Kolona D
Kolona E
Kolona F
Kolona G
Drejto
Mesatarja
Kolona
Kolona B
Kolona C
Kolona D
Kolona E
Kolona F
Kolona G
Drejto
Fshiji të Gjitha
closeOK"
MAT/MA161-ForestedAreas,2,4,Albanian,sqi-ALB,"Sipërfaqja Pyjore  Praktikë
Ju tashmë do të praktikoni përdorimin e faqes së të dhënave përpara se të vazhdoni me pyetjet.
Përdorni faqen e të dhënave për të plotësuar tre veprimet e mëposhtme.
Rendisni një kolonë.
Klikoni mbi simbolin në Kolonat B, C, ose D, për të renditur atë kolonë në rend rritës (nga më e ulëta te më e larta).
Kujtoni se të gjitha kolonat do të renditen bazuar në mënyrën që njëra prej kolonave do të renditet.
Performoni një llogaritje
Zgjidhni një kolonë nga menuja e parë që lëshohet poshtë që ndodhet poshtë faqes së të dhënave.
Më pas, zgjdhni një veprim nga menuja e mesit që lëshohet poshtë.
Më pas zgjidhni një kolonë nga menuja e fundit që lëshohet poshtë.
Klikoni mbi ""Drejto"".
Rezultatet do të shfaqen në kolonën e parë të disponueshme bosh.
Paraqisni mesataren e një kolone.
Zgjidhni një kolonë nga menuja që lëshohet poshtë pranë ""Mesatarja"", që ndodhet poshtë faqes së të dhënave.
Klikoni mbi ""Drejto"".
Rezultati do të paraqitet  në qelizën poshtë asaj kolone.
Klikoni mbi   për të vazhduar."
MAT/MA161-ForestedAreas,2,5,Albanian,sqi-ALB,"C
(
)
x2
yx
√x
1/x
π
÷
7
8
9
x
4
5
6
–
1
2
3
+
0
.
+/-
="
MAT/MA161-ForestedAreas,3,1,Albanian,sqi-ALB,Makinë llogaritëseclose
MAT/MA161-ForestedAreas,3,2,Albanian,sqi-ALB,PISA 2022
