qid,language,lang_code,question
q000opinion,Albanian,sqi-ALB,Opinion
q000opinion,Arabic,ara-ARE,رأي
q000opinion,Azerbaijani / Azeri,aze-QAZ,Fikir
q000opinion,Basque,eus-ESP,Iritzia
q000opinion,Bokmål,nob-NOR,Mening
q000opinion,Bosnian,bos-BIH,Mišljenje
q000opinion,Bulgarian,bul-BGR,Мнение
q000opinion,Catalan,cat-ESP,Opinió
q000opinion,Chinese,zho-CHN,观点
q000opinion,Croatian,hrv-HRV,Mišljenje
q000opinion,Czech,ces-CZE,Názor
q000opinion,Danish,dan-DNK,Holdning
q000opinion,Dutch,nld-NLD,Mening
q000opinion,English,eng-CAN,Opinion
q000opinion,Estonian,est-EST,Arvamus
q000opinion,Finnish,fin-FIN,Mielipide
q000opinion,French,fra-FRA,Opinion
q000opinion,Galician,glg-ESP,Opinión
q000opinion,Georgian,geo-GEO,მოსაზრება
q000opinion,German,deu-DEU,Meinung
q000opinion,Greek,ell-GRC,Γνώμη
q000opinion,Hebrew,heb-ISR,דעה
q000opinion,Hungarian,hun-HUN,Vélemény
q000opinion,Icelandic,isl-ISL,Skoðun
q000opinion,Indonesian,ind-IDN,Opini
q000opinion,Italian,ita-ITA,Opinione
q000opinion,Japanese,jpn-JPN,意見
q000opinion,Kazakh,kaz-KAZ,Пікір
q000opinion,Korean,kor-KOR,의견
q000opinion,Latvian,lav-LVA,Viedoklis
q000opinion,Lithuanian,lit-LTU,Nuomonė
q000opinion,Malay,msa-MYS,Pendapat
q000opinion,Nynorsk,nno-NOR,Meining
q000opinion,Polish,pol-POL,Opinia
q000opinion,Portuguese,por-PRT,Opinião
q000opinion,Russian,rus-KAZ,Мнение
q000opinion,Serbian / Serb,srp-SRB,Mišljenje
q000opinion,Slovak,slo-SVK,Názor
q000opinion,Slovenian,slv-SVN,Mnenje
q000opinion,Spanish,esp-ESP,Opinión
q000opinion,Swedish,swe-SWE,Åsikt
q000opinion,Thai,tha-THA,ความคิดเห็น
q000opinion,Turkish,tur-TUR,Öznel
q000fact,Albanian,sqi-ALB,Fakt
q000fact,Arabic,ara-ARE,حقيقة
q000fact,Azerbaijani / Azeri,aze-QAZ,Fakt
q000fact,Basque,eus-ESP,Datua
q000fact,Bokmål,nob-NOR,Fakta
q000fact,Bosnian,bos-BIH,Činjenica
q000fact,Bulgarian,bul-BGR,Факт
q000fact,Catalan,cat-ESP,Fet
q000fact,Chinese,zho-CHN,事实
q000fact,Croatian,hrv-HRV,Činjenica
q000fact,Czech,ces-CZE,Fakt
q000fact,Danish,dan-DNK,Faktum
q000fact,Dutch,nld-NLD,Feit
q000fact,English,eng-CAN,Fact
q000fact,Estonian,est-EST,Fakt
q000fact,Finnish,fin-FIN,Tosiasia
q000fact,French,fra-FRA,Fait
q000fact,Galician,glg-ESP,Feito
q000fact,Georgian,geo-GEO,ფაქტი
q000fact,German,deu-DEU,Tatsache
q000fact,Greek,ell-GRC,Γεγονός
q000fact,Hebrew,heb-ISR,עובדה
q000fact,Hungarian,hun-HUN,Tény
q000fact,Icelandic,isl-ISL,Staðreynd
q000fact,Indonesian,ind-IDN,Fakta
q000fact,Italian,ita-ITA,Fatto
q000fact,Japanese,jpn-JPN,事実
q000fact,Kazakh,kaz-KAZ,Факт
q000fact,Korean,kor-KOR,사실
q000fact,Latvian,lav-LVA,Fakts
q000fact,Lithuanian,lit-LTU,Faktas
q000fact,Malay,msa-MYS,Fakta
q000fact,Nynorsk,nno-NOR,Fakta
q000fact,Polish,pol-POL,Fakt
q000fact,Portuguese,por-PRT,Facto
q000fact,Russian,rus-KAZ,Факт
q000fact,Serbian / Serb,srp-SRB,Činjenica
q000fact,Slovak,slo-SVK,Fakt
q000fact,Slovenian,slv-SVN,Dejstvo
q000fact,Spanish,esp-ESP,Hecho
q000fact,Swedish,swe-SWE,Faktum
q000fact,Thai,tha-THA,ข้อเท็จจริง
q000fact,Turkish,tur-TUR,Nesnel
q000yes,Albanian,sqi-ALB,Po
q000yes,Arabic,ara-ARE,نعم
q000yes,Azerbaijani / Azeri,aze-QAZ,Bəli
q000yes,Basque,eus-ESP,Bai
q000yes,Bokmål,nob-NOR,Ja
q000yes,Bosnian,bos-BIH,Da
q000yes,Bulgarian,bul-BGR,Да
q000yes,Catalan,cat-ESP,Sí
q000yes,Chinese,zho-CHN,是
q000yes,Croatian,hrv-HRV,Da
q000yes,Czech,ces-CZE,Ano
q000yes,Danish,dan-DNK,Ja
q000yes,Dutch,nld-NLD,Ja
q000yes,English,eng-CAN,Yes
q000yes,Estonian,est-EST,Jah
q000yes,Finnish,fin-FIN,Kyllä
q000yes,French,fra-FRA,Oui
q000yes,Galician,glg-ESP,Si
q000yes,Georgian,geo-GEO,დიახ
q000yes,German,deu-DEU,Ja
q000yes,Greek,ell-GRC,Ναι
q000yes,Hebrew,heb-ISR,כן
q000yes,Hungarian,hun-HUN,Igen
q000yes,Icelandic,isl-ISL,Já
q000yes,Indonesian,ind-IDN,Ya
q000yes,Italian,ita-ITA,Sì
q000yes,Japanese,jpn-JPN,はい
q000yes,Kazakh,kaz-KAZ,Иә
q000yes,Korean,kor-KOR,예
q000yes,Latvian,lav-LVA,Jā
q000yes,Lithuanian,lit-LTU,Taip
q000yes,Malay,msa-MYS,Ya
