qid,language,lang_code,question,context,options,gold,answer_type,category,difficulty,rationale,source
q001,Albanian,sqi-ALB,,,,C,mc,Math,level 6,v = 10 500*(1-0.05)^3,"PISA 2022, math, car purchase"
q001,Arabic,ara-ARE,,,,C,mc,Math,level 6,v = 10 500*(1-0.05)^3,"PISA 2022, math, car purchase"
q001,Azerbaijani / Azeri,aze-QAZ,,,,C,mc,Math,level 6,v = 10 500*(1-0.05)^3,"PISA 2022, math, car purchase"
q001,Basque,eus-ESP,,,,C,mc,Math,level 6,v = 10 500*(1-0.05)^3,"PISA 2022, math, car purchase"
q001,Bokmål,nob-NOR,,,,C,mc,Math,level 6,v = 10 500*(1-0.05)^3,"PISA 2022, math, car purchase"
q001,Bosnian,bos-BIH,,,,C,mc,Math,level 6,v = 10 500*(1-0.05)^3,"PISA 2022, math, car purchase"
q001,Bulgarian,bul-BGR,,,,C,mc,Math,level 6,v = 10 500*(1-0.05)^3,"PISA 2022, math, car purchase"
q001,Catalan,cat-ESP,,,,C,mc,Math,level 6,v = 10 500*(1-0.05)^3,"PISA 2022, math, car purchase"
q001,Chinese,zho-CHN,,,,C,mc,Math,level 6,v = 10 500*(1-0.05)^3,"PISA 2022, math, car purchase"
q001,Croatian,hrv-HRV,,,,C,mc,Math,level 6,v = 10 500*(1-0.05)^3,"PISA 2022, math, car purchase"
q001,Czech,ces-CZE,,,,C,mc,Math,level 6,v = 10 500*(1-0.05)^3,"PISA 2022, math, car purchase"
q001,Danish,dan-DNK,,,,C,mc,Math,level 6,v = 10 500*(1-0.05)^3,"PISA 2022, math, car purchase"
q001,Dutch,nld-NLD,,,,C,mc,Math,level 6,v = 10 500*(1-0.05)^3,"PISA 2022, math, car purchase"
q001,English,eng-CAN,"If Tania decides to buy car D and resell it after three years in excellent condition, what will be the approximate resale price of the car in zeds?","A car’s resale price is the estimated price for which it can be resold at a later time.
For a car that stays in excellent condition, its resale price will decrease by 5% each year.
Car price includes all taxes and registration fees. Car D: Price (zeds): 10500. ","[""A) 1575"", ""B) 8925"", ""C) 9000"", ""D) 9975""]",C,mc,Math,level 6,v = 10 500*(1-0.05)^3,"PISA 2022, math, car purchase"
q001,Estonian,est-EST,,,,C,mc,Math,level 6,v = 10 500*(1-0.05)^3,"PISA 2022, math, car purchase"
q001,Finnish,fin-FIN,,,,C,mc,Math,level 6,v = 10 500*(1-0.05)^3,"PISA 2022, math, car purchase"
q001,French,fra-FRA,,,,C,mc,Math,level 6,v = 10 500*(1-0.05)^3,"PISA 2022, math, car purchase"
