unit,page,part,language_name,lang_code,text
MAT/MA104-CarPurchase,1,1,Albanian,sqi-ALB,Makinë llogaritëseclose
MAT/MA104-CarPurchase,1,2,Albanian,sqi-ALB,PISA 2022
MAT/MA104-CarPurchase,1,3,Albanian,sqi-ALB,"Blerja e Makinës  Hyrja
Lexoni hyrjen. Më pas klikoni mbi shigjetën TJETËR.
BLERJA E MAKINËS
Tania po planifikon të blejë një makinë të re. Ajo dëshiron të dijë sa do t'i kushtojë të blejë një makinë dhe ta ngasë gjatë vitit të parë.
Ajo gjen Vlerësuesin e Kostos online dhe bën llogaritë e mëposhtme:
Distanca e llogaritur që ajo do të përshkojë me makinë këtë vit është 20 000 km.
Kosotoja mesatare e karburantit do të jetë 1,54 zed për litër.
Kosot e mirëmbajtes që ka llogaritur janë 250 zed gjatë vitit të parë.
VLERËSUESI I KOSTOS
Çmimi i Makinës (zed)
Konsumi i Karburantit (L/100 km)
Distanca e Përllogaritur e Përshkuar me Makinë (km)
Kostoja Mesatare e Karburantit (zed/L)
Kostot e Përllogaritura të Mirëmbajtjes (zed)
Fshi
Llogarit"
MAT/MA104-CarPurchase,1,4,Albanian,sqi-ALB,"C
(
)
x2
yx
√x
1/x
π
÷
7
8
9
x
4
5
6
–
1
2
3
+
0
.
+/-
="
MAT/MA104-CarPurchase,2,1,Albanian,sqi-ALB,Makinë llogaritëseclose
MAT/MA104-CarPurchase,2,2,Albanian,sqi-ALB,PISA 2022
MAT/MA104-CarPurchase,2,3,Albanian,sqi-ALB,"BLERJA E MAKINËS
Çmimet dhe konsumi i karburantit për katër makinat që Tania po mendon të blejë janë shfaqur në tabelën më poshtë.
Konsumi i karburantit është numri i litrave të karburantit që nevojitet për t'i dhënë makinës për 100 kilometra.  Kjo është një mesatare bazuar në një kombinim midis dhënies së makinës në qytet dhe autostradë.
Makina A
Makina B
Makina C
Makina D
Çmimi i Makinës (zed)
Çmimi i makinës përfshin të gjitha taksat dhe kostot e regjistrimit.
8000
8700
9900
10 500
Konsumi i Karburantit
(L/100 km)
18,9
15,7
12,4
14,1
Disa nga qelizat e Vlerësuesit të Kostos janë mbushur në bazë të llogaritjeve të Tanias.
VLERËSUESI I KOSTOS
Çmimi i Makinës (zed)
Konsumi i Karburantit (L/100 km)
Distanca e Përllogaritur e Përshkuar me Makinë (km)
20 000
Kostoja Mesatare e Karburantit (zed/L)
1,54
Kostot e Përllogaritura të Mirëmbajtjes (zed)
250
Fshi
Llogarit
REZULTATET
closeOK"
MAT/MA104-CarPurchase,2,4,Albanian,sqi-ALB,"Blerja e Makinës  Pyetje 1 / 2
Si të Përdorni Vlerësuesin e Kostos
Vlerësuesi i Kostos do të përcaktojë sa do të kushtojë blerja dhe përdorimi i makinës gjatë vitit të parë.
Për të përdorur matësin ndiqni këto hapa:
Vendosni Çmimin e Makinës.
Vendosni Koston e Karburantit.
Klikoni mbi butonin ''Llogarit"". Rezultatet do të shfaqen në tabelën e rezultateve.
Për të kryer llogaritje shtesë, klikoni mbi ""Fshi"", vendosni vlera të reja, më pas klikoni mbi butonin ""Llogarit"" përsëri.
Për të fshirë ndonjë rresht të dhënash nga tabela e Rezultateve, klikoni mbi butonin e fshirjes pranë atij rreshti.
Referohuni ""Blerjes së Makinës"" në të djathtë. Përdorni Vlerësuesin e Kostos për t'ju ndihmuar t'i përgjigjeni pyetjes më poshtë. Klikoni një alternativë për t'ju përgjigjur pyetjes.
Për të parë se si të përdorni Vlerësuesin e Kostos klikoni mbi ""Si të Përdorni Vlerësuesin e Kostos"" më sipër.
Bazuar në llogaritjet e Tanias, cila makinë do t'i kushtonte më pak për t'u blerë dhe përdorur gjatë vitit të parë?
Makina A
Makina B
Makina C
Makina D"
MAT/MA104-CarPurchase,2,5,Albanian,sqi-ALB,"C
(
)
x2
yx
√x
1/x
π
÷
7
8
9
x
4
5
6
–
1
2
3
+
0
.
+/-
="
MAT/MA104-CarPurchase,3,1,Albanian,sqi-ALB,Makinë llogaritëseclose
MAT/MA104-CarPurchase,3,2,Albanian,sqi-ALB,PISA 2022
MAT/MA104-CarPurchase,3,3,Albanian,sqi-ALB,"BLERJA E MAKINËS
Çmimet dhe konsumi i karburantit për katër makinat që Tania po mendon të blejë janë shfaqur në tabelën më poshtë.
Konsumi i karburantit është numri i litrave të karburantit që nevojitet për t'i dhënë makinës për 100 kilometra.  Kjo është një mesatare bazuar në një kombinim midis dhënies së makinës në qytet dhe autostradë.
Makina A
Makina B
Makina C
Makina D
Çmimi i Makinës (zed)
Çmimi i makinës përfshin të gjitha taksat dhe kostot e regjistrimit.
8000
8700
9900
10 500
Konsumi i Karburantit
(L/100 km)
18,9
15,7
12,4
14,1"
MAT/MA104-CarPurchase,3,4,Albanian,sqi-ALB,"Blerja e Makinës  Pyetje 2 / 2
Referohuni ""Blerjes së Makinës"" në të djathtë. Klikoni një alternativë për t'ju përgjigjur pyetjes.
Çmimi i rishitjes së një makine është sa vlera e çmimit të llogaritur me të cilin mund të rishitet më pas.
Për një makinë që mbetet në gjendet të shkëlqyer, vlera e saj do të ulet me nga 5% çdo vit.
Nëse Tania vendos të blejë makinën D dhe ta shesë pas tre vitesh në gjendje të shkëlqyer, cila do të jetë afërsisht vlera në zed e makinës?
1575
8925
9000
9975"
MAT/MA104-CarPurchase,3,5,Albanian,sqi-ALB,"C
(
)
x2
yx
√x
1/x
π
÷
7
8
9
x
4
5
6
–
1
2
3
+
0
.
+/-
="
MAT/MA104-CarPurchase,1,1,Arabic,ara-ARE,الآلة الحاسبةclose
MAT/MA104-CarPurchase,1,2,Arabic,ara-ARE,PISA 2022
MAT/MA104-CarPurchase,1,3,Arabic,ara-ARE,"شراء سيارة  مقدمة
اقرأ المقدمة. ثم انقر على زر التالي.
شراء سيارة
تخطط تهاني لشراء سيارة جديدة. وتريد أن تعرف كم ستكون تكلفة شراء سيارة وقيادتها في السنة الأولى.
وجدت برنامج تقدير التكلفة هذا على الإنترنت وقامت بإجراء التقديرات التالية:
ستقود السيارة لمسافة تٌقدر بـ 200‎00 km خلال هذه السنة.
سيكون متوسط تكلفة الوقود 1.54 زد  لكل لتر.
التكاليف المُقدّرة للصيانة هي 250 زد في السنة الأولى.
برنامج تقدير التكلفة
سعر السيارة (زد)
استهلاك الوقود (L/100 km)
المسافة المقطوعة المُقدرة (km)
متوسط تكلفة الوقود (L/زد)
التكاليف المُقدّرة للصيانة (زد)
امسح
احسب"
MAT/MA104-CarPurchase,1,4,Arabic,ara-ARE,"C
(
)
x2
yx
√x
1/x
π
÷
7
8
9
x
4
5
6
–
1
2
3
+
0
.
+/-
="
MAT/MA104-CarPurchase,2,1,Arabic,ara-ARE,الآلة الحاسبةclose
MAT/MA104-CarPurchase,2,2,Arabic,ara-ARE,PISA 2022
MAT/MA104-CarPurchase,2,3,Arabic,ara-ARE,"شراء سيارة
يوضّح الجدول أدناه الأسعار واستهلاك الوقود لأربع سيارات تفكر تهاني  في شراء إحداها.
استهلاك الوقود هو عدد لترات الوقود اللازمة لقطع مسافة  100 كيلومتر. وهو تقدير مبني على القيادة في كلٍ من المدينة وعلى الطريق السريع معًا.
سيارة  A
سيارة  B
سيارة  C
سيارة  D
سعر السيارة (زد)
يشمل سعر السيارة الضرائب جميعها ورسوم التسجيل.
8000
8700
9900
10500
استهلاك الوقود
(L/100 km)
18.9
15.7
12.4
14.1
تم تعبئة بعض الخلايا في ""برنامج تقدير التكلفة"" بناءً على تقديرات تهاني.
برنامج تقدير التكلفة
سعر السيارة (زد)
استهلاك الوقود (L/100 km)
المسافة المقطوعة المُقدرة (km)
20000
متوسط تكلفة الوقود (L/زد)
1.54
التكاليف المُقدّرة للصيانة (زد)
250
امسح
احسب
النتائج
closeموافق"
MAT/MA104-CarPurchase,2,4,Arabic,ara-ARE,"شراء سيارة  سؤال 1 / 2
كيفية استخدام برنامج تقدير التكلفة
سيحدد ""برنامج تقدير التكلفة"" كم ستكون تكلفة شراء السيارة وقيادتها في السنة الأولى.
لاستخدام ""برنامج تقدير التكلفة""، اتبع هذه الخطوات:
أدخل سعر السيارة.
أدخل استهلاك الوقود.
انقر على زر ""احسب"". سيتم عرض النتيجة في جدول النتائج.
لعمل حسابات إضافية، انقر على ""امسح""، وأدخل قيمًا جديدة، ثم انقر على الزر ""احسب"" مرة أخرى.
لحذف أحد صفوف البيانات من جدول النتائج، انقر على زر الحذف الذي يظهر بجانب ذلك الصف.
ارجع إلى "" شراء سيارة "" على الجانب الأيسر. استخدم ""برنامج تقدير التكلفة"" لمساعدتك في الإجابة عن السؤال أدناه. انقر على أحد الخيارات للإجابة عن السؤال.
لمعرفة كيفية استخدام ""برنامج تقدير التكلفة""، أنقر على ""كيف تستخدم برنامج تقدير التكلفة"" أعلاه.
بناءً على تقديرات تهاني، أيّ سيارة ستكون ذات تكلفة أقل في الشراء والاستخدام خلال السنة الأولى؟
سيارة  A
سيارة  B
سيارة  C
سيارة  D"
MAT/MA104-CarPurchase,2,5,Arabic,ara-ARE,"C
(
)
x2
yx
√x
1/x
π
÷
7
8
9
x
4
5
6
–
1
2
3
+
0
.
+/-
="
MAT/MA104-CarPurchase,3,1,Arabic,ara-ARE,الآلة الحاسبةclose
MAT/MA104-CarPurchase,3,2,Arabic,ara-ARE,PISA 2022
MAT/MA104-CarPurchase,3,3,Arabic,ara-ARE,"شراء سيارة
يوضّح الجدول أدناه الأسعار واستهلاك الوقود لأربع سيارات تفكر تهاني  في شراء إحداها.
استهلاك الوقود هو عدد لترات الوقود اللازمة لقطع مسافة  100 كيلومتر. وهو تقدير مبني على القيادة في كلٍ من المدينة وعلى الطريق السريع معًا.
سيارة  A
سيارة  B
سيارة  C
سيارة  D
سعر السيارة (زد)
يشمل سعر السيارة الضرائب جميعها ورسوم التسجيل.
8000
8700
9900
10500
استهلاك الوقود
(L/100 km)
18.9
15.7
12.4
14.1"
MAT/MA104-CarPurchase,3,4,Arabic,ara-ARE,"شراء سيارة  سؤال 2 / 2
ارجع إلى "" شراء سيارة "" على الجانب الأيسر. انقر على أحد الخيارات للإجابة عن السؤال.
سعر إعادة البيع هو السعر المُقدّر الذي يمكن بيع السيارة به في وقتٍ لاحق.
بالنسبة للسيارة التي تبقى في حالة ممتازة، ستنخفض قيمتها بنسبة  %5  كل سنة.
إذا قررت تهاني شراء السيارة D  وإعادة بيعها بعد ثلاث سنوات وهي في حالة ممتازة، فما السعر التقريبي لإعادة بيع السيارة بالزد؟
1575
8925
9000
9975"
MAT/MA104-CarPurchase,3,5,Arabic,ara-ARE,"C
(
)
x2
yx
√x
1/x
π
÷
7
8
9
x
4
5
6
–
1
2
3
+
0
.
+/-
="
MAT/MA104-CarPurchase,1,1,Azerbaijani / Azeri,aze-QAZ,Kalkulyatorclose
MAT/MA104-CarPurchase,1,2,Azerbaijani / Azeri,aze-QAZ,PISA 2022
MAT/MA104-CarPurchase,1,3,Azerbaijani / Azeri,aze-QAZ,"Maşın Alışı  Giriş
Girişi oxuyun. Sonra NÖVBƏTİ oxunu klikləyin.
MAŞIN ALIŞI
Turan yeni maşın almağı planlaşdırır. O, maşını almaq və bir il müddətində sürməyin ona neçəyə başa gələcəyini hesablamaq istəyir.
O, internetdə bu Xərc Hesablayıcısını tapır və aşağıdakı təxminləri edir:
O, bu il təxminən 20 000 km məsafə sürəcək.
1 litr yanacağın orta qiyməti 1,54 zed olacaq.
Birinci ildə təxmini baxım xərci 250 zed olacaq.
XƏRC HESABLAYICI
Maşının Qiyməti (zedlə)
Yanacaq Sərfiyyatı (l/100 km)
Sürülən Təxmini Məsafə (km)
Yanacağın Orta Qiyməti (zed/l)
Təxmini Baxım Xərcləri (zedlə)
Təmizlə
Hesabla"
MAT/MA104-CarPurchase,1,4,Azerbaijani / Azeri,aze-QAZ,"C
(
)
x2
yx
√x
1/x
π
÷
7
8
9
x
4
5
6
–
1
2
3
+
0
,
+/-
="
