unit,page,part,language_name,lang_code,text
MAT/MA106-DVDSales,1,1,Albanian,sqi-ALB,Makinë llogaritëseclose
MAT/MA106-DVDSales,1,2,Albanian,sqi-ALB,PISA 2022
MAT/MA106-DVDSales,1,3,Albanian,sqi-ALB,"Server Error
404 - File or directory not found.
The resource you are looking for might have been removed, had its name changed, or is temporarily unavailable."
MAT/MA106-DVDSales,1,4,Albanian,sqi-ALB,"Shitjet e DVD  Hyrja
Lexoni hyrjen. Më pas klikoni mbi shigjetën TJETËR.
SHITJET E DVD
Numri totali i DVDve të shitura çdo vit në Mbretërinë e Bashkuar nga 2008 në 2014 është paraqitur në grafikun më poshtë.
Vlerat në boshtet horizontale përfaqësojnë numrin e viteve pas 2008. Vendosni kursorin mbi pikat në grafik për të parë koordinatat e asaj pike. Për shembull, pika (0: 252,9) tregon se në 2008 janë shitur 252,9 milionë DVD. Pika (1: 234,6) tregon se në vitin 2009 janë shitur 234,6 milionë DVD, etj.
Shitjet e DVD në Mbretërinë e Bashkuar
Numri i DVDve të Shitura(në Milionë)
Numri i Viteve Pas 2008
(0: 252,9)
(1: 234,6)
(2: 210,1)
(3: 191,8)
(4: 162)
(5: 143,4)
(6: 124,9)"
MAT/MA106-DVDSales,1,5,Albanian,sqi-ALB,"C
(
)
x2
yx
√x
1/x
π
÷
7
8
9
x
4
5
6
–
1
2
3
+
0
.
+/-
="
MAT/MA106-DVDSales,2,1,Albanian,sqi-ALB,Makinë llogaritëseclose
MAT/MA106-DVDSales,2,2,Albanian,sqi-ALB,PISA 2022
MAT/MA106-DVDSales,2,3,Albanian,sqi-ALB,"SHITJET E DVD
Numri totali i DVDve të shitura çdo vit në Mbretërinë e Bashkuar nga 2008 në 2014 është paraqitur në grafikun më poshtë.
Vlerat në boshtet horizontale përfaqësojnë numrin e viteve pas 2008. Vendosni kursorin mbi pikat në grafik për të parë koordinatat e asaj pike. Për shembull, pika (0: 252,9) tregon se në 2008 janë shitur 252,9 milionë DVD. Pika (1: 234,6) tregon se në vitin 2009 janë shitur 234,6 milionë DVD, etj.
Një vizë është shtuar në grafik për të modeluar këto pikë të dhënash.
Shitjet e DVD në Mbretërinë e Bashkuar
Numri i DVDve të Shitura(në Milionë)
Numri i Viteve Pas 2008
(0: 252,9)
(1: 234,6)
(2: 210,1)
(3: 191,8)
(4: 162)
(5: 143,4)
(6: 124,9)"
MAT/MA106-DVDSales,2,4,Albanian,sqi-ALB,"Shitjet e DVD  Pyetje 1 / 3
Referohuni ""Shitjes së DVD"" në të djathtë. Klikoni alternativat në tabelë për t'ju përgjigjur pyetjes.
A janë të mbështetura nga informacioni i paraqitur në grafik fjalitë në tabelën më poshtë? Klikoni mbi Po ose Jo për secilën fjali.
Pohimi
Po
Jo
Numri i DVDve të shitura ka rënë me rreth 50% nga viti 2008 deri në 2014.
Numri i DVDve të shitura ka rënë me të njejtën sasi çdo vit nga 2008 deri në 2014.
Pjerrësia e vizës përfaqëson rënien mesatare vjetore në shitjet e DVDve nga 2008 në 2014."
MAT/MA106-DVDSales,2,5,Albanian,sqi-ALB,"C
(
)
x2
yx
√x
1/x
π
÷
7
8
9
x
4
5
6
–
1
2
3
+
0
.
+/-
="
MAT/MA106-DVDSales,3,1,Albanian,sqi-ALB,Makinë llogaritëseclose
MAT/MA106-DVDSales,3,2,Albanian,sqi-ALB,PISA 2022
